symbol,name,price,change,change_percent,volume,market_cap,pe_ratio,collection_date,source
AAPL,AAPL,232.5600,2.0700,0.8981%,38074700,3451283309000,35.34,2025-08-29 09:19:39,Alpha Vantage API
MSFT,MSFT,509.6400,2.9000,0.5723%,18015593,3788240847000,37.31,2025-08-29 09:19:51,Alpha Vantage API
GOOGL,GOOGL,211.6400,4.1600,2.0050%,32339307,2513225122000,22.56,2025-08-29 09:20:04,Alpha Vantage API
AMZN,AMZN,231.6000,2.4800,1.0824%,33679585,2469990760000,35.36,2025-08-29 09:20:16,Alpha Vantage API
META,META,751.1100,3.7300,0.4991%,7467955,1886893507000,27.24,2025-08-29 09:20:28,Alpha Vantage API
TSLA,TSLA,345.9800,-3.6200,-1.0355%,67903224,1115941241000,203.52,2025-08-29 09:20:40,Alpha Vantage API
NVDA,NVDA,180.1700,-1.4300,-0.7874%,281787824,4393913811000,51.33,2025-08-29 09:20:53,Alpha Vantage API
JPM,JPM,301.0700,1.7900,0.5981%,6410535,827867267000,15.43,2025-08-29 09:21:05,Alpha Vantage API
JNJ,JNJ,175.4500,-1.3400,-0.7580%,6424695,422543229000,18.8,2025-08-29 09:21:17,Alpha Vantage API
V,V,349.8600,-0.4900,-0.1399%,4987541,679057228000,34.13,2025-08-29 09:21:30,Alpha Vantage API
